"","RT","RT_bl","RT_tot","acc_bl","acc_tot","background","bidi","blink_onset","block_cnt","block_type","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","count_block_loop","count_block_seq","count_block_settings","count_check_session","count_drift_correct","count_end_loop","count_end_seq","count_exp_settings","count_experiment","count_feedback","count_instructions","count_log_variables","count_logger","count_new_inline_script","count_new_pygaze_drift_correct","count_new_pygaze_start_recording","count_new_pygaze_stop_recording","count_pygaze","count_start_recording","count_stop_recording","count_test_location","count_trial","count_trial_loop","count_trial_seq","d_eye","datetime","description","disable_garbage_collection","dist_color","dist_high","dist_loc","dist_shape","empty_column","experiment_file","experiment_path","eye_threshold_length","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","high_loc","high_prob_loc","keyboard_backend","live_row","live_row_block_loop","live_row_trial_loop","logfile","mouse_backend","nr_blinks","nr_trials","nr_trials_bl","opensesame_codename","opensesame_version","orient_list_trial","ping","ping_trigger","ping_type","practice","repeat_cycle","response","round_decimals","sampler_backend","session_nr","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target_color","target_high","target_loc","target_shape","time_block_loop","time_block_seq","time_block_settings","time_check_session","time_drift_correct","time_end_loop","time_end_seq","time_exp_settings","time_experiment","time_feedback","time_instructions","time_log_variables","time_logger","time_new_inline_script","time_new_pygaze_drift_correct","time_new_pygaze_start_recording","time_new_pygaze_stop_recording","time_pygaze","time_start_recording","time_stop_recording","time_test_location","time_trial","time_trial_loop","time_trial_seq","title","total_blocks","tracker_dev","trial_type","trials_in_block","trigger","uniform_coordinates","update_blinks","width","x","y","toward","containsNaN","rept","repd","prevtar","pd","nt","pd_c","nt_c","tar_dist","dist_dist","prevHP","eegTar","repteeg","tarcounter"
"1",1870.41929999937,1870.41929999937,1870.41929999937,1,1,"#000000","no",1856.12260000016,1,"neutral","psycho","psycho","psycho",0,"uniform",1,0,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,73.2296414732588,"Wed Sep  1 11:30:53 2021","The main experiment item","yes","red","no","1","diamond",NA,"pinging_target_expectations 4.0.osexp","C:\Users\etp-cp-ping\Desktop\LocalPC-EXP",75,"no","mono","no",18,"no","white","no","yes",1050,NA,100,"psycho",0,0,0,"C:/Users/etp-cp-ping/Desktop/LocalPC-EXP/subject-11.csv","psycho",0,1,1,"Lentiform Loewenfeld","3.3.8","['vert', 'hori', 'vert', 'hori', 'hori', 'vert', 'hori', 'vert']","no",209,"None","yes",0,NA,2,"legacy",NA,1024,2,48000,-16,"experiment",11,"odd","green","no",3,"circle",472241.2698,472345.0228,472345.0637,NA,480545.2967,NA,NA,160676.359999999,1860.95389999991,NA,160676.3814,481570.9464,485410.4299,NA,NA,NA,NA,1861.03319999984,481195.8075,NA,NA,481570.9613,481566.6334,481570.902699999,"New experiment",19,"[0]","dist_present",56,42,"yes","yes",1680,NA,NA,NA,NA,"NR","NR","lp",NA,NA,NA,NA,NA,NA,"practice",999,"NR","in"
"2",1628.39640000038,3498.81569999974,3498.81569999974,2,2,"#000000","no",1856.12260000016,1,"neutral","psycho","psycho","psycho",0,"uniform",1,0,0,0,NA,0,0,NA,0,0,0,0,1,1,NA,NA,NA,NA,0,0,0,NA,1,0,1,73.2296414732588,"Wed Sep  1 11:30:53 2021","The main experiment item","yes","green","no","None","diamond",NA,"pinging_target_expectations 4.0.osexp","C:\Users\etp-cp-ping\Desktop\LocalPC-EXP",75,"no","mono","no",18,"no","white","no","yes",1050,NA,100,"psycho",1,0,1,"C:/Users/etp-cp-ping/Desktop/LocalPC-EXP/subject-11.csv","psycho",0,2,2,"Lentiform Loewenfeld","3.3.8","['hori', 'hori', 'hori', 'vert', 'vert', 'hori', 'vert', 'vert']","no",209,"None","yes",0,NA,2,"legacy",NA,1024,2,48000,-16,"experiment",11,"odd","red","no",6,"circle",472241.2698,472345.0228,472345.0637,NA,480545.2967,NA,NA,160676.359999999,1860.95389999991,NA,160676.3814,485453.0456,488994.4825,NA,NA,NA,NA,1861.03319999984,481195.8075,NA,NA,485453.0599,481566.6334,485452.9947,"New experiment",19,"[0]","dist_absent",56,79,"yes","yes",1680,NA,NA,NA,NA,"NR","NR","lp",NA,"Right",NA,"Right",NA,NA,"practice",3,"NR","in"
"3",1320.95019999996,4819.76589999971,4819.76589999971,3,3,"#000000","no",1856.12260000016,1,"neutral","psycho","psycho","psycho",0,"uniform",1,0,0,0,NA,0,0,NA,0,0,0,0,2,2,NA,NA,NA,NA,0,0,0,NA,2,0,2,73.2296414732588,"Wed Sep  1 11:30:53 2021","The main experiment item","yes","red","no","4","diamond",NA,"pinging_target_expectations 4.0.osexp","C:\Users\etp-cp-ping\Desktop\LocalPC-EXP",75,"no","mono","no",18,"no","white","no","yes",1050,NA,100,"psycho",2,0,2,"C:/Users/etp-cp-ping/Desktop/LocalPC-EXP/subject-11.csv","psycho",0,3,3,"Lentiform Loewenfeld","3.3.8","['vert', 'hori', 'hori', 'hori', 'vert', 'vert', 'vert', 'hori']","no",209,"None","yes",0,NA,2,"legacy",NA,1024,2,48000,-16,"experiment",11,"odd","green","no",2,"circle",472241.2698,472345.0228,472345.0637,NA,480545.2967,NA,NA,160676.359999999,1860.95389999991,NA,160676.3814,489025.3672,492354.465599999,NA,NA,NA,NA,1861.03319999984,481195.8075,NA,NA,489025.3814,481566.6334,489025.3155,"New experiment",19,"[0]","dist_present",56,35,"yes","yes",1680,NA,NA,NA,NA,"NR","NR","lp",NA,"Left",NA,"Left",NA,NA,"practice",6,"NR","in"
"4",2000.94690000056,6820.71280000027,6820.71280000027,3,3,"#000000","no",1856.12260000016,1,"neutral","psycho","psycho","psycho",0,"uniform",0,0,0,0,NA,0,0,NA,0,0,0,0,3,3,NA,NA,NA,NA,0,0,0,NA,3,0,3,73.2296414732588,"Wed Sep  1 11:30:53 2021","The main experiment item","yes","red","no","7","diamond",NA,"pinging_target_expectations 4.0.osexp","C:\Users\etp-cp-ping\Desktop\LocalPC-EXP",75,"no","mono","no",18,"no","white","no","yes",1050,NA,100,"psycho",3,0,3,"C:/Users/etp-cp-ping/Desktop/LocalPC-EXP/subject-11.csv","psycho",0,4,4,"Lentiform Loewenfeld","3.3.8","['vert', 'hori', 'hori', 'hori', 'hori', 'vert', 'vert', 'vert']","no",209,"None","yes",0,NA,2,"legacy",NA,1024,2,48000,-16,"experiment",11,"odd","green","no",0,"circle",472241.2698,472345.0228,472345.0637,NA,480545.2967,NA,NA,160676.359999999,1860.95389999991,NA,160676.3814,492384.8249,496308.3572,NA,NA,NA,NA,1861.03319999984,481195.8075,NA,NA,492384.838999999,481566.6334,492384.7749,"New experiment",19,"[0]","dist_present",56,18,"yes","yes",1680,NA,NA,NA,NA,"NR","NR","lp","Right",NA,NA,NA,NA,NA,"practice",2,"NR","in"
"5",2000.43189999997,8821.14470000024,8821.14470000024,3,3,"#000000","no",1856.12260000016,1,"neutral","psycho","psycho","psycho",0,"uniform",0,0,0,0,NA,0,0,NA,0,0,0,0,4,4,NA,NA,NA,NA,0,0,0,NA,4,0,4,73.2296414732588,"Wed Sep  1 11:30:53 2021","The main experiment item","yes","green","no","4","circle",NA,"pinging_target_expectations 4.0.osexp","C:\Users\etp-cp-ping\Desktop\LocalPC-EXP",75,"no","mono","no",18,"no","white","no","yes",1050,NA,100,"psycho",4,0,4,"C:/Users/etp-cp-ping/Desktop/LocalPC-EXP/subject-11.csv","psycho",0,5,5,"Lentiform Loewenfeld","3.3.8","['vert', 'hori', 'vert', 'hori', 'hori', 'vert', 'vert', 'hori']","yes",109,"circles","yes",0,NA,2,"legacy",NA,1024,2,48000,-16,"experiment",11,"odd","red","no",5,"diamond",472241.2698,472345.0228,472345.0637,NA,480545.2967,NA,NA,160676.359999999,1860.95389999991,NA,160676.3814,496338.5154,500104.3338,NA,NA,NA,NA,1861.03319999984,481195.8075,NA,NA,496338.5293,481566.6334,496338.4648,"New experiment",19,"[0]","dist_present",56,65,"yes","yes",1680,NA,NA,NA,NA,"NR","NR","lp",NA,"Right",NA,NA,NA,NA,"practice",0,"NR","in"
"6",1929.97759999981,10751.1223,10751.1223,4,4,"#000000","no",1856.12260000016,1,"neutral","psycho","psycho","psycho",0,"uniform",1,0,0,0,NA,0,0,NA,0,0,0,0,5,5,NA,NA,NA,NA,0,0,0,NA,5,0,5,73.2296414732588,"Wed Sep  1 11:30:53 2021","The main experiment item","yes","red","no","None","diamond",NA,"pinging_target_expectations 4.0.osexp","C:\Users\etp-cp-ping\Desktop\LocalPC-EXP",75,"no","mono","no",18,"no","white","no","yes",1050,NA,100,"psycho",5,0,5,"C:/Users/etp-cp-ping/Desktop/LocalPC-EXP/subject-11.csv","psycho",0,6,6,"Lentiform Loewenfeld","3.3.8","['hori', 'hori', 'vert', 'vert', 'hori', 'hori', 'vert', 'vert']","no",209,"None","yes",0,NA,2,"legacy",NA,1024,2,48000,-16,"experiment",11,"odd","green","no",0,"circle",472241.2698,472345.0228,472345.0637,NA,480545.2967,NA,NA,160676.359999999,1860.95389999991,NA,160676.3814,500135.4948,503906.4161,NA,NA,NA,NA,1861.03319999984,481195.8075,NA,NA,500135.5088,481566.6334,500135.444699999,"New experiment",19,"[0]","dist_absent",56,19,"yes","yes",1680,NA,NA,NA,NA,"NR","NR","lp",NA,NA,NA,NA,NA,NA,"practice",5,"NR","in"
"7",2000.82320000004,12751.9455000001,12751.9455000001,4,4,"#000000","no",1856.12260000016,1,"neutral","psycho","psycho","psycho",0,"uniform",0,0,0,0,NA,0,0,NA,0,0,0,0,6,6,NA,NA,NA,NA,0,0,0,NA,6,0,6,73.2296414732588,"Wed Sep  1 11:30:53 2021","The main experiment item","yes","red","no","1","diamond",NA,"pinging_target_expectations 4.0.osexp","C:\Users\etp-cp-ping\Desktop\LocalPC-EXP",75,"no","mono","no",18,"no","white","no","yes",1050,NA,100,"psycho",6,0,6,"C:/Users/etp-cp-ping/Desktop/LocalPC-EXP/subject-11.csv","psycho",0,7,7,"Lentiform Loewenfeld","3.3.8","['hori', 'vert', 'hori', 'hori', 'vert', 'vert', 'hori', 'vert']","no",209,"None","yes",0,NA,2,"legacy",NA,1024,2,48000,-16,"experiment",11,"odd","green","no",4,"circle",472241.2698,472345.0228,472345.0637,NA,480545.2967,NA,NA,160676.359999999,1860.95389999991,NA,160676.3814,503936.7108,507897.393499999,NA,NA,NA,NA,1861.03319999984,481195.8075,NA,NA,503936.7247,481566.6334,503936.6622,"New experiment",19,"[0]","dist_present",56,52,"yes","yes",1680,NA,NA,NA,NA,"NR","NR","lp","Left",NA,NA,NA,NA,NA,"practice",0,"NR","in"
"8",1583.97349999996,14335.9190000001,14335.9190000001,5,5,"#000000","no",1856.12260000016,1,"neutral","psycho","psycho","psycho",0,"uniform",1,0,0,0,NA,0,0,NA,0,0,0,0,7,7,NA,NA,NA,NA,0,0,0,NA,7,0,7,73.2296414732588,"Wed Sep  1 11:30:53 2021","The main experiment item","yes","green","no","1","circle",NA,"pinging_target_expectations 4.0.osexp","C:\Users\etp-cp-ping\Desktop\LocalPC-EXP",75,"no","mono","no",18,"no","white","no","yes",1050,NA,100,"psycho",7,0,7,"C:/Users/etp-cp-ping/Desktop/LocalPC-EXP/subject-11.csv","psycho",0,8,8,"Lentiform Loewenfeld","3.3.8","['vert', 'hori', 'hori', 'hori', 'hori', 'vert', 'vert', 'vert']","yes",109,"circles","yes",0,NA,2,"legacy",NA,1024,2,48000,-16,"experiment",11,"odd","red","no",7,"diamond",472241.2698,472345.0228,472345.0637,NA,480545.2967,NA,NA,160676.359999999,1860.95389999991,NA,160676.3814,507927.5689,511570.4531,NA,NA,NA,NA,1861.03319999984,481195.8075,NA,NA,507927.583199999,481566.6334,507927.5191,"New experiment",19,"[0]","dist_present",56,82,"yes","yes",1680,NA,NA,NA,NA,"NR","R","lp",NA,NA,NA,NA,NA,NA,"practice",4,"NR","in"
"9",2000.60530000064,16336.5243000007,16336.5243000007,5,5,"#000000","no",1856.12260000016,1,"neutral","psycho","psycho","psycho",0,"uniform",0,0,0,0,NA,0,0,NA,0,0,0,0,8,8,NA,NA,NA,NA,0,0,0,NA,8,0,8,73.2296414732588,"Wed Sep  1 11:30:53 2021","The main experiment item","yes","green","no","4","diamond",NA,"pinging_target_expectations 4.0.osexp","C:\Users\etp-cp-ping\Desktop\LocalPC-EXP",75,"no","mono","no",18,"no","white","no","yes",1050,NA,100,"psycho",8,0,8,"C:/Users/etp-cp-ping/Desktop/LocalPC-EXP/subject-11.csv","psycho",0,9,9,"Lentiform Loewenfeld","3.3.8","['vert', 'vert', 'hori', 'hori', 'hori', 'vert', 'hori', 'vert']","yes",109,"circles","yes",0,NA,2,"legacy",NA,1024,2,48000,-16,"experiment",11,"odd","red","no",7,"circle",472241.2698,472345.0228,472345.0637,NA,480545.2967,NA,NA,160676.359999999,1860.95389999991,NA,160676.3814,511600.9556,515473.386799999,NA,NA,NA,NA,1861.03319999984,481195.8075,NA,NA,511600.9695,481566.6334,511600.906199999,"New experiment",19,"[0]","dist_present",56,85,"yes","yes",1680,NA,NA,NA,NA,"R","NR","lp",NA,"Right",NA,NA,NA,NA,"practice",7,"NR","in"
"10",1723.42329999997,18059.9476000007,18059.9476000007,6,6,"#000000","no",1856.12260000016,1,"neutral","psycho","psycho","psycho",0,"uniform",1,0,0,0,NA,0,0,NA,0,0,0,0,9,9,NA,NA,NA,NA,0,0,0,NA,9,0,9,73.2296414732588,"Wed Sep  1 11:30:53 2021","The main experiment item","yes","green","no","2","circle",NA,"pinging_target_expectations 4.0.osexp","C:\Users\etp-cp-ping\Desktop\LocalPC-EXP",75,"no","mono","no",18,"no","white","no","yes",1050,NA,100,"psycho",9,0,9,"C:/Users/etp-cp-ping/Desktop/LocalPC-EXP/subject-11.csv","psycho",0,10,10,"Lentiform Loewenfeld","3.3.8","['hori', 'vert', 'vert', 'hori', 'vert', 'hori', 'hori', 'vert']","no",209,"None","yes",0,NA,2,"legacy",NA,1024,2,48000,-16,"experiment",11,"odd","red","no",6,"diamond",472241.2698,472345.0228,472345.0637,NA,480545.2967,NA,NA,160676.359999999,1860.95389999991,NA,160676.3814,515503.6254,519090.5408,NA,NA,NA,NA,1861.03319999984,481195.8075,NA,NA,515503.6396,481566.6334,515503.576,"New experiment",19,"[0]","dist_present",56,73,"yes","yes",1680,NA,NA,NA,NA,"NR","NR","lp",NA,NA,NA,NA,NA,NA,"practice",7,"R","in"
