"","RT","RT_bl","RT_tot","acc_bl","acc_tot","answer_debrief_1","answer_debrief_2","answer_debrief_3","answer_debrief_4","background","bidi","blink_onset","block_cnt","block_type","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","count_block_loop","count_block_seq","count_block_settings","count_check_session","count_drift_correct","count_end_loop","count_end_seq","count_exp_settings","count_experiment","count_feedback","count_instructions","count_log_variables","count_logger","count_new_inline_script","count_new_pygaze_drift_correct","count_new_pygaze_start_recording","count_new_pygaze_stop_recording","count_pygaze","count_start_recording","count_stop_recording","count_test_location","count_trial","count_trial_loop","count_trial_seq","d_eye","datetime","description","disable_garbage_collection","dist_color","dist_high","dist_loc","dist_shape","empty_column","experiment_file","experiment_path","eye_threshold_length","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","high_loc","high_prob_loc","keyboard_backend","live_row","live_row_block_loop","live_row_trial_loop","logfile","mouse_backend","nr_blinks","nr_trials","nr_trials_bl","opensesame_codename","opensesame_version","orient_list_trial","ping","ping_trigger","ping_type","practice","repeat_cycle","response","round_decimals","sampler_backend","session_nr","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target_color","target_high","target_loc","target_shape","time_block_loop","time_block_seq","time_block_settings","time_check_session","time_drift_correct","time_end_loop","time_end_seq","time_exp_settings","time_experiment","time_feedback","time_instructions","time_log_variables","time_logger","time_new_inline_script","time_new_pygaze_drift_correct","time_new_pygaze_start_recording","time_new_pygaze_stop_recording","time_pygaze","time_start_recording","time_stop_recording","time_test_location","time_trial","time_trial_loop","time_trial_seq","title","total_blocks","tracker_dev","trial_type","trials_in_block","trigger","uniform_coordinates","update_blinks","width","x","y","toward","containsNaN","rept","repd","prevtar","pd","nt","pd_c","nt_c","tar_dist","dist_dist","prevHP","eegTar","repteeg","tarcounter"
"1",2000.37479999993,2000.37479999993,2000.37479999993,0,0,"n",2,"['8', '4', 'space']","y","#000000","no",261759.4328,1,"neutral","psycho","psycho","psycho",0,"uniform",0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,73.2296414732588,"Thu Oct 28 11:26:32 2021","The main experiment item","yes","green","no","4","diamond",NA,"pinging_target_expectations 4.0.osexp","C:\Users\etp-cp-ping\Desktop\LocalPC-EXP",75,"no","mono","no",18,"no","white","no","yes",1050,NA,100,"psycho",0,0,0,"C:/Users/etp-cp-ping/Desktop/LocalPC-EXP/subject-8.csv","psycho",1,1,1,"Lentiform Loewenfeld","3.3.8","['hori', 'vert', 'vert', 'hori', 'vert', 'vert', 'hori', 'hori']","no",209,"None","yes",0,NA,2,"legacy",NA,1024,2,48000,-16,"experiment",8,"even","red","no",0,"circle",252366.337,252415.1445,252415.1846,NA,259598.3515,NA,NA,67617.9760999999,1359.90050000009,NA,67617.9980000002,260745.1244,264478.08,NA,NA,NA,NA,1359.97880000014,260365.8393,NA,NA,260745.1417,260740.7396,260745.0483,"New experiment",19,"[0]","dist_present",56,15,"yes","yes",1680,NA,NA,NA,NA,"NR","NR","lp",NA,NA,NA,NA,NA,NA,"practice",999,"NR","in"
"2",1648.34749999951,3648.72229999944,3648.72229999944,0,0,"n",2,"['8', '4', 'space']","y","#000000","no",261759.4328,1,"neutral","psycho","psycho","psycho",0,"uniform",0,0,0,0,NA,0,0,NA,0,0,0,0,1,1,NA,NA,NA,NA,0,0,0,NA,1,0,1,73.2296414732588,"Thu Oct 28 11:26:32 2021","The main experiment item","yes","red","no","None","diamond",NA,"pinging_target_expectations 4.0.osexp","C:\Users\etp-cp-ping\Desktop\LocalPC-EXP",75,"no","mono","no",18,"no","white","no","yes",1050,NA,100,"psycho",1,0,1,"C:/Users/etp-cp-ping/Desktop/LocalPC-EXP/subject-8.csv","psycho",1,2,2,"Lentiform Loewenfeld","3.3.8","['hori', 'vert', 'hori', 'vert', 'hori', 'vert', 'hori', 'vert']","yes",109,"diamond","yes",0,NA,2,"legacy",NA,1024,2,48000,-16,"experiment",8,"even","green","no",4,"circle",252366.337,252415.1445,252415.1846,NA,259598.3515,NA,NA,67617.9760999999,1359.90050000009,NA,67617.9980000002,264517.45,267935.5362,NA,NA,NA,NA,1359.97880000014,260365.8393,NA,NA,264517.4645,260740.7396,264517.4013,"New experiment",19,"[0]","dist_absent",56,59,"yes","yes",1680,NA,NA,NA,NA,"NR","NR","lp",NA,NA,NA,NA,NA,NA,"practice",0,"NR","in"
"3",2000.02479999966,5648.74709999911,5648.74709999911,0,0,"n",2,"['8', '4', 'space']","y","#000000","no",269960.1457,1,"neutral","psycho","psycho","psycho",0,"uniform",0,0,0,0,NA,0,0,NA,0,0,0,0,2,2,NA,NA,NA,NA,0,0,0,NA,2,0,2,73.2296414732588,"Thu Oct 28 11:26:32 2021","The main experiment item","yes","red","no","2","circle",NA,"pinging_target_expectations 4.0.osexp","C:\Users\etp-cp-ping\Desktop\LocalPC-EXP",75,"no","mono","no",18,"no","white","no","yes",1050,NA,100,"psycho",2,0,2,"C:/Users/etp-cp-ping/Desktop/LocalPC-EXP/subject-8.csv","psycho",2,3,3,"Lentiform Loewenfeld","3.3.8","['hori', 'vert', 'hori', 'vert', 'vert', 'hori', 'hori', 'vert']","no",209,"None","yes",0,NA,2,"legacy",NA,1024,2,48000,-16,"experiment",8,"even","green","no",0,"diamond",252366.337,252415.1445,252415.1846,NA,259598.3515,NA,NA,67617.9760999999,1359.90050000009,NA,67617.9980000002,267966.386,271876.512,NA,NA,NA,NA,1359.97880000014,260365.8393,NA,NA,267966.4004,260740.7396,267966.336,"New experiment",19,"[0]","dist_present",56,13,"yes","yes",1680,NA,NA,NA,NA,"NR","NR","lp","Left",NA,"Left",NA,NA,NA,"practice",4,"NR","in"
"4",946.151299999619,6594.89839999872,6594.89839999872,1,1,"n",2,"['8', '4', 'space']","y","#000000","no",269960.1457,1,"neutral","psycho","psycho","psycho",0,"uniform",1,0,0,0,NA,0,0,NA,0,0,0,0,3,3,NA,NA,NA,NA,0,0,0,NA,3,0,3,73.2296414732588,"Thu Oct 28 11:26:32 2021","The main experiment item","yes","red","no","5","diamond",NA,"pinging_target_expectations 4.0.osexp","C:\Users\etp-cp-ping\Desktop\LocalPC-EXP",75,"no","mono","no",18,"no","white","no","yes",1050,NA,100,"psycho",3,0,3,"C:/Users/etp-cp-ping/Desktop/LocalPC-EXP/subject-8.csv","psycho",2,4,4,"Lentiform Loewenfeld","3.3.8","['hori', 'hori', 'vert', 'vert', 'vert', 'vert', 'hori', 'hori']","no",209,"None","yes",0,NA,2,"legacy",NA,1024,2,48000,-16,"experiment",8,"even","green","no",3,"circle",252366.337,252415.1445,252415.1846,NA,259598.3515,NA,NA,67617.9760999999,1359.90050000009,NA,67617.9980000002,271906.5505,274799.4109,NA,NA,NA,NA,1359.97880000014,260365.8393,NA,NA,271906.565,260740.7396,271906.5004,"New experiment",19,"[0]","dist_present",56,46,"yes","yes",1680,NA,NA,NA,NA,"NR","NR","lp",NA,NA,NA,NA,NA,NA,"practice",0,"NR","in"
"5",1792.14349999983,8387.04189999856,8387.04189999856,2,2,"n",2,"['8', '4', 'space']","y","#000000","no",275456.1727,1,"neutral","psycho","psycho","psycho",0,"uniform",1,0,0,0,NA,0,0,NA,0,0,0,0,4,4,NA,NA,NA,NA,0,0,0,NA,4,0,4,73.2296414732588,"Thu Oct 28 11:26:32 2021","The main experiment item","yes","red","no","7","circle",NA,"pinging_target_expectations 4.0.osexp","C:\Users\etp-cp-ping\Desktop\LocalPC-EXP",75,"no","mono","no",18,"no","white","no","yes",1050,NA,100,"psycho",4,0,4,"C:/Users/etp-cp-ping/Desktop/LocalPC-EXP/subject-8.csv","psycho",3,5,5,"Lentiform Loewenfeld","3.3.8","['hori', 'hori', 'hori', 'hori', 'vert', 'vert', 'vert', 'vert']","yes",109,"circles","yes",0,NA,2,"legacy",NA,1024,2,48000,-16,"experiment",8,"even","green","no",5,"diamond",252366.337,252415.1445,252415.1846,NA,259598.3515,NA,NA,67617.9760999999,1359.90050000009,NA,67617.9980000002,274829.7073,278399.4384,NA,NA,NA,NA,1359.97880000014,260365.8393,NA,NA,274829.7219,260740.7396,274829.6567,"New experiment",19,"[0]","dist_present",56,68,"yes","yes",1680,NA,NA,NA,NA,"NR","NR","lp",NA,NA,NA,NA,NA,NA,"practice",3,"NR","in"
"6",1526.20639999991,9913.24829999846,9913.24829999846,3,3,"n",2,"['8', '4', 'space']","y","#000000","no",279625.238,1,"neutral","psycho","psycho","psycho",0,"uniform",1,0,0,0,NA,0,0,NA,0,0,0,0,5,5,NA,NA,NA,NA,0,0,0,NA,5,0,5,73.2296414732588,"Thu Oct 28 11:26:32 2021","The main experiment item","yes","red","no","2","diamond",NA,"pinging_target_expectations 4.0.osexp","C:\Users\etp-cp-ping\Desktop\LocalPC-EXP",75,"no","mono","no",18,"no","white","no","yes",1050,NA,100,"psycho",5,0,5,"C:/Users/etp-cp-ping/Desktop/LocalPC-EXP/subject-8.csv","psycho",4,6,6,"Lentiform Loewenfeld","3.3.8","['hori', 'hori', 'hori', 'vert', 'vert', 'vert', 'vert', 'hori']","no",209,"None","yes",0,NA,2,"legacy",NA,1024,2,48000,-16,"experiment",8,"even","green","no",4,"circle",252366.337,252415.1445,252415.1846,NA,259598.3515,NA,NA,67617.9760999999,1359.90050000009,NA,67617.9980000002,278431.2114,281855.5081,NA,NA,NA,NA,1359.97880000014,260365.8393,NA,NA,278431.2254,260740.7396,278431.1615,"New experiment",19,"[0]","dist_present",56,53,"yes","yes",1680,NA,NA,NA,NA,"NR","NR","lp","Left",NA,"Left",NA,NA,NA,"practice",5,"NR","in"
"7",1419.36319999967,11332.6114999981,11332.6114999981,4,4,"n",2,"['8', '4', 'space']","y","#000000","no",279625.238,1,"neutral","psycho","psycho","psycho",0,"uniform",1,0,0,0,NA,0,0,NA,0,0,0,0,6,6,NA,NA,NA,NA,0,0,0,NA,6,0,6,73.2296414732588,"Thu Oct 28 11:26:32 2021","The main experiment item","yes","green","no","None","circle",NA,"pinging_target_expectations 4.0.osexp","C:\Users\etp-cp-ping\Desktop\LocalPC-EXP",75,"no","mono","no",18,"no","white","no","yes",1050,NA,100,"psycho",6,0,6,"C:/Users/etp-cp-ping/Desktop/LocalPC-EXP/subject-8.csv","psycho",4,7,7,"Lentiform Loewenfeld","3.3.8","['vert', 'hori', 'vert', 'hori', 'hori', 'hori', 'vert', 'vert']","no",209,"None","yes",0,NA,2,"legacy",NA,1024,2,48000,-16,"experiment",8,"even","red","no",1,"diamond",252366.337,252415.1445,252415.1846,NA,259598.3515,NA,NA,67617.9760999999,1359.90050000009,NA,67617.9980000002,281885.6035,285199.4609,NA,NA,NA,NA,1359.97880000014,260365.8393,NA,NA,281885.6179,260740.7396,281885.5547,"New experiment",19,"[0]","dist_absent",56,29,"yes","yes",1680,NA,NA,NA,NA,"NR","NR","lp",NA,"Left",NA,NA,NA,NA,"practice",4,"NR","in"
"8",1835.46559999924,13168.0770999974,13168.0770999974,4,4,"n",2,"['8', '4', 'space']","y","#000000","no",285601.8723,1,"neutral","psycho","psycho","psycho",0,"uniform",0,0,0,0,NA,0,0,NA,0,0,0,0,7,7,NA,NA,NA,NA,0,0,0,NA,7,0,7,73.2296414732588,"Thu Oct 28 11:26:32 2021","The main experiment item","yes","green","no","4","circle",NA,"pinging_target_expectations 4.0.osexp","C:\Users\etp-cp-ping\Desktop\LocalPC-EXP",75,"no","mono","no",18,"no","white","no","yes",1050,NA,100,"psycho",7,0,7,"C:/Users/etp-cp-ping/Desktop/LocalPC-EXP/subject-8.csv","psycho",5,8,8,"Lentiform Loewenfeld","3.3.8","['vert', 'vert', 'hori', 'hori', 'vert', 'hori', 'vert', 'hori']","yes",109,"diamond","yes",0,NA,2,"legacy",NA,1024,2,48000,-16,"experiment",8,"even","red","no",5,"diamond",252366.337,252415.1445,252415.1846,NA,259598.3515,NA,NA,67617.9760999999,1359.90050000009,NA,67617.9980000002,285229.7637,288991.5171,NA,NA,NA,NA,1359.97880000014,260365.8393,NA,NA,285229.7782,260740.7396,285229.7114,"New experiment",19,"[0]","dist_present",56,65,"yes","yes",1680,NA,NA,NA,NA,"NR","NR","lp",NA,"Right",NA,NA,NA,NA,"practice",1,"NR","in"
"9",2000.99320000026,15169.0702999976,15169.0702999976,4,4,"n",2,"['8', '4', 'space']","y","#000000","no",285601.8723,1,"neutral","psycho","psycho","psycho",0,"uniform",0,0,0,0,NA,0,0,NA,0,0,0,0,8,8,NA,NA,NA,NA,0,0,0,NA,8,0,8,73.2296414732588,"Thu Oct 28 11:26:32 2021","The main experiment item","yes","green","no","None","circle",NA,"pinging_target_expectations 4.0.osexp","C:\Users\etp-cp-ping\Desktop\LocalPC-EXP",75,"no","mono","no",18,"no","white","no","yes",1050,NA,100,"psycho",8,0,8,"C:/Users/etp-cp-ping/Desktop/LocalPC-EXP/subject-8.csv","psycho",5,9,9,"Lentiform Loewenfeld","3.3.8","['vert', 'hori', 'hori', 'vert', 'hori', 'hori', 'vert', 'vert']","no",209,"None","yes",0,NA,2,"legacy",NA,1024,2,48000,-16,"experiment",8,"even","red","no",1,"diamond",252366.337,252415.1445,252415.1846,NA,259598.3515,NA,NA,67617.9760999999,1359.90050000009,NA,67617.9980000002,289022.2447,292999.0882,NA,NA,NA,NA,1359.97880000014,260365.8393,NA,NA,289022.2594,260740.7396,289022.1939,"New experiment",19,"[0]","dist_absent",56,29,"yes","yes",1680,NA,NA,NA,NA,"NR","NR","lp",NA,"Left",NA,NA,NA,NA,"practice",5,"NR","in"
"10",1703.21140000032,16872.281699998,16872.281699998,5,5,"n",2,"['8', '4', 'space']","y","#000000","no",285601.8723,1,"neutral","psycho","psycho","psycho",0,"uniform",1,0,0,0,NA,0,0,NA,0,0,0,0,9,9,NA,NA,NA,NA,0,0,0,NA,9,0,9,73.2296414732588,"Thu Oct 28 11:26:32 2021","The main experiment item","yes","green","no","None","diamond",NA,"pinging_target_expectations 4.0.osexp","C:\Users\etp-cp-ping\Desktop\LocalPC-EXP",75,"no","mono","no",18,"no","white","no","yes",1050,NA,100,"psycho",9,0,9,"C:/Users/etp-cp-ping/Desktop/LocalPC-EXP/subject-8.csv","psycho",5,10,10,"Lentiform Loewenfeld","3.3.8","['hori', 'vert', 'hori', 'hori', 'vert', 'vert', 'hori', 'vert']","yes",109,"diamond","yes",0,NA,2,"legacy",NA,1024,2,48000,-16,"experiment",8,"even","red","no",5,"circle",252366.337,252415.1445,252415.1846,NA,259598.3515,NA,NA,67617.9760999999,1359.90050000009,NA,67617.9980000002,293029.0775,296463.4594,NA,NA,NA,NA,1359.97880000014,260365.8393,NA,NA,293029.0922,260740.7396,293029.0285,"New experiment",19,"[0]","dist_absent",56,69,"yes","yes",1680,NA,NA,NA,NA,"NR","R","lp",NA,"Right",NA,NA,NA,NA,"practice",1,"NR","in"
